label,property
"""MAG""","""division"""
"""MAG""","""gtdb_classification"""
"""MAG""","""mag_biosample"""
"""MAG""","""mag_id"""
"""MAG""","""original_biosample"""
"""BCG""","""acc"""
"""BCG""","""bgc_length"""
"""BCG""","""contig_id"""
"""BCG""","""contig_length"""
"""BCG""","""end"""
"""BCG""","""file"""
"""BCG""","""mag_id"""
"""BCG""","""on_edge"""
"""BCG""","""product"""
"""BCG""","""start"""
"""BCG""","""tool"""
"""BGC_product_class""","""id"""
"""BGC_product_class""","""name"""
"""BGC_product_class""","""aliases"""
"""Protein""","""id"""
"""Protein""","""name"""
"""Protein""","""ec_numbers"""
"""Protein""","""mag_id"""
"""Compound""","""abbreviation"""
"""Compound""","""aliases"""
"""Compound""","""charge"""
"""Compound""","""deltag"""
"""Compound""","""deltagerr"""
"""Compound""","""formula"""
"""Compound""","""id"""
"""Compound""","""inchikey"""
"""Compound""","""is_cofactor"""
"""Compound""","""is_core"""
"""Compound""","""is_obsolete"""
"""Compound""","""linked_compound"""
"""Compound""","""mass"""
"""Compound""","""name"""
"""Compound""","""notes"""
"""Compound""","""pka"""
"""Compound""","""pkb"""
"""Compound""","""smiles"""
"""Compound""","""source"""
"""Reaction""","""abbreviation"""
"""Reaction""","""aliases"""
"""Reaction""","""code"""
"""Reaction""","""compound_ids"""
"""Reaction""","""definition"""
"""Reaction""","""deltag"""
"""Reaction""","""deltagerr"""
"""Reaction""","""direction"""
"""Reaction""","""ec_numbers"""
"""Reaction""","""equation"""
"""Reaction""","""id"""
"""Reaction""","""is_obsolete"""
"""Reaction""","""is_transport"""
"""Reaction""","""linked_reaction"""
"""Reaction""","""name"""
"""Reaction""","""notes"""
"""Reaction""","""pathways"""
"""Reaction""","""reversibility"""
"""Reaction""","""source"""
"""Reaction""","""status"""
"""Reaction""","""stoichiometry"""
"""Samples""","""collection_date"""
"""Samples""","""deep_sea"""
"""Samples""","""depth"""
"""Samples""","""division"""
"""Samples""","""fraction"""
"""Samples""","""instrument"""
"""Samples""","""latitude"""
"""Samples""","""longitude"""
"""Samples""","""lower_filter"""
"""Samples""","""mesopelagic"""
"""Samples""","""original_biosample"""
"""Samples""","""oxygen"""
"""Samples""","""percent_mapped_on_OceanDNA_MAGs"""
"""Samples""","""polar"""
"""Samples""","""salinity"""
"""Samples""","""sample_name"""
"""Samples""","""sample_type"""
"""Samples""","""temperature"""
"""Samples""","""upper_filter"""